,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
0,Gujarat Titans,Rajasthan Royals,Ahmedabad,131,125,9,131,-0.0,6.29,1
1,Gujarat Titans,Rajasthan Royals,Ahmedabad,131,124,8,131,-0.0,6.34,1
2,Gujarat Titans,Rajasthan Royals,Ahmedabad,126,119,3,131,30.0,6.35,1
3,Gujarat Titans,Rajasthan Royals,Ahmedabad,122,118,2,131,27.0,6.2,1
4,Gujarat Titans,Rajasthan Royals,Ahmedabad,122,117,1,131,18.0,6.26,1
5,Gujarat Titans,Rajasthan Royals,Ahmedabad,122,116,0,131,13.5,6.31,1
6,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,158,125,9,158,-0.0,7.58,1
7,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,158,124,8,158,-0.0,7.65,1
8,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,142,119,3,158,96.0,7.16,1
9,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,138,118,2,158,60.0,7.02,1
10,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,138,117,1,158,40.0,7.08,1
11,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,138,116,0,158,30.0,7.14,1
12,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,208,125,9,208,-0.0,9.98,0
13,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,208,124,8,208,-0.0,10.06,0
14,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,200,119,3,208,48.0,10.08,0
15,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,197,118,2,208,33.0,10.02,0
16,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,196,117,1,208,24.0,10.05,0
17,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,196,116,0,208,18.0,10.14,0
18,Gujarat Titans,Rajasthan Royals,Kolkata,189,125,9,189,-0.0,9.07,1
19,Gujarat Titans,Rajasthan Royals,Kolkata,189,124,8,189,-0.0,9.15,1
20,Gujarat Titans,Rajasthan Royals,Kolkata,189,123,7,189,-0.0,9.22,1
21,Gujarat Titans,Rajasthan Royals,Kolkata,185,119,3,189,24.0,9.33,1
22,Gujarat Titans,Rajasthan Royals,Kolkata,181,118,2,189,24.0,9.2,1
23,Gujarat Titans,Rajasthan Royals,Kolkata,180,117,1,189,18.0,9.23,1
24,Gujarat Titans,Rajasthan Royals,Kolkata,180,116,0,189,13.5,9.31,1
25,Punjab Kings,Sunrisers Hyderabad,Mumbai,158,125,9,158,-0.0,7.58,1
26,Punjab Kings,Sunrisers Hyderabad,Mumbai,145,119,3,158,78.0,7.31,1
27,Punjab Kings,Sunrisers Hyderabad,Mumbai,141,118,2,158,51.0,7.17,1
28,Punjab Kings,Sunrisers Hyderabad,Mumbai,141,117,1,158,34.0,7.23,1
29,Punjab Kings,Sunrisers Hyderabad,Mumbai,137,116,0,158,31.5,7.09,1
30,Mumbai Indians,Delhi Capitals,Mumbai,160,125,9,160,-0.0,7.68,1
31,Mumbai Indians,Delhi Capitals,Mumbai,160,124,8,160,-0.0,7.74,1
32,Mumbai Indians,Delhi Capitals,Mumbai,160,123,7,160,-0.0,7.8,1
33,Mumbai Indians,Delhi Capitals,Mumbai,155,119,3,160,30.0,7.82,1
34,Mumbai Indians,Delhi Capitals,Mumbai,155,118,2,160,15.0,7.88,1
35,Mumbai Indians,Delhi Capitals,Mumbai,151,117,1,160,18.0,7.74,1
36,Mumbai Indians,Delhi Capitals,Mumbai,151,116,0,160,13.5,7.81,1
37,Rajasthan Royals,Chennai Super Kings,Mumbai,136,119,3,151,90.0,6.86,1
38,Rajasthan Royals,Chennai Super Kings,Mumbai,135,118,2,151,48.0,6.86,1
39,Rajasthan Royals,Chennai Super Kings,Mumbai,135,117,1,151,32.0,6.92,1
40,Rajasthan Royals,Chennai Super Kings,Mumbai,135,116,0,151,24.0,6.98,1
41,Royal Challengers Bangalore,Gujarat Titans,Mumbai,163,119,3,169,36.0,8.22,1
42,Royal Challengers Bangalore,Gujarat Titans,Mumbai,163,118,2,169,18.0,8.29,1
43,Royal Challengers Bangalore,Gujarat Titans,Mumbai,162,117,1,169,14.0,8.31,1
44,Royal Challengers Bangalore,Gujarat Titans,Mumbai,162,116,0,169,10.5,8.38,1
45,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,211,125,9,211,-0.0,10.13,0
46,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,211,124,8,211,-0.0,10.21,0
47,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,211,123,7,211,-0.0,10.29,0
48,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,211,122,6,211,-0.0,10.38,0
49,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,207,119,3,211,24.0,10.44,0
50,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,207,118,2,211,12.0,10.53,0
51,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,203,117,1,211,16.0,10.41,0
52,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,203,116,0,211,12.0,10.5,0
53,Mumbai Indians,Sunrisers Hyderabad,Mumbai,192,119,3,194,12.0,9.68,0
54,Mumbai Indians,Sunrisers Hyderabad,Mumbai,191,119,2,194,18.0,9.63,0
55,Mumbai Indians,Sunrisers Hyderabad,Mumbai,190,118,1,194,12.0,9.66,0
56,Mumbai Indians,Sunrisers Hyderabad,Mumbai,190,117,0,194,8.0,9.74,0
57,Punjab Kings,Delhi Capitals,Navi Mumbai,160,125,9,160,-0.0,7.68,0
58,Punjab Kings,Delhi Capitals,Navi Mumbai,153,119,3,160,42.0,7.71,0
59,Punjab Kings,Delhi Capitals,Navi Mumbai,149,118,2,160,33.0,7.58,0
60,Punjab Kings,Delhi Capitals,Navi Mumbai,148,117,1,160,24.0,7.59,0
61,Punjab Kings,Delhi Capitals,Navi Mumbai,148,116,0,160,18.0,7.66,0
62,Lucknow Super Giants,Rajasthan Royals,Mumbai,172,119,3,179,42.0,8.67,0
63,Lucknow Super Giants,Rajasthan Royals,Mumbai,172,118,2,179,21.0,8.75,0
64,Lucknow Super Giants,Rajasthan Royals,Mumbai,171,117,1,179,16.0,8.77,0
65,Lucknow Super Giants,Rajasthan Royals,Mumbai,170,116,0,179,13.5,8.79,0
66,Gujarat Titans,Chennai Super Kings,Mumbai,134,125,9,134,-0.0,6.43,1
67,Gujarat Titans,Chennai Super Kings,Mumbai,122,119,3,134,72.0,6.15,1
68,Gujarat Titans,Chennai Super Kings,Mumbai,121,118,2,134,39.0,6.15,1
69,Gujarat Titans,Chennai Super Kings,Mumbai,117,117,1,134,34.0,6.0,1
70,Gujarat Titans,Chennai Super Kings,Mumbai,117,116,0,134,25.5,6.05,1
71,Sunrisers Hyderabad,Kolkata Knight Riders,Pune,178,125,9,178,-0.0,8.54,0
72,Sunrisers Hyderabad,Kolkata Knight Riders,Pune,178,124,8,178,-0.0,8.61,0
73,Sunrisers Hyderabad,Kolkata Knight Riders,Pune,173,119,3,178,30.0,8.72,0
74,Sunrisers Hyderabad,Kolkata Knight Riders,Pune,173,118,2,178,15.0,8.8,0
75,Sunrisers Hyderabad,Kolkata Knight Riders,Pune,172,117,1,178,12.0,8.82,0
76,Sunrisers Hyderabad,Kolkata Knight Riders,Pune,171,116,0,178,10.5,8.84,0
77,Royal Challengers Bangalore,Punjab Kings,Mumbai,203,119,3,210,42.0,10.24,0
78,Royal Challengers Bangalore,Punjab Kings,Mumbai,202,119,2,210,48.0,10.18,0
79,Royal Challengers Bangalore,Punjab Kings,Mumbai,202,118,1,210,24.0,10.27,0
80,Royal Challengers Bangalore,Punjab Kings,Mumbai,198,117,0,210,24.0,10.15,0
81,Mumbai Indians,Chennai Super Kings,Mumbai,98,125,9,98,-0.0,4.7,1
82,Mumbai Indians,Chennai Super Kings,Mumbai,92,119,3,98,36.0,4.64,1
83,Mumbai Indians,Chennai Super Kings,Mumbai,92,118,2,98,18.0,4.68,1
84,Mumbai Indians,Chennai Super Kings,Mumbai,92,117,1,98,12.0,4.72,1
85,Mumbai Indians,Chennai Super Kings,Mumbai,88,116,0,98,15.0,4.55,1
86,Delhi Capitals,Rajasthan Royals,Navi Mumbai,161,125,9,161,-0.0,7.73,1
87,Delhi Capitals,Rajasthan Royals,Navi Mumbai,161,124,8,161,-0.0,7.79,1
88,Delhi Capitals,Rajasthan Royals,Navi Mumbai,161,123,7,161,-0.0,7.85,1
89,Delhi Capitals,Rajasthan Royals,Navi Mumbai,160,119,3,161,6.0,8.07,1
90,Delhi Capitals,Rajasthan Royals,Navi Mumbai,160,118,2,161,3.0,8.14,1
91,Delhi Capitals,Rajasthan Royals,Navi Mumbai,160,117,1,161,2.0,8.21,1
92,Delhi Capitals,Rajasthan Royals,Navi Mumbai,160,116,0,161,1.5,8.28,1
93,Lucknow Super Giants,Gujarat Titans,Pune,145,125,9,145,-0.0,6.96,0
94,Lucknow Super Giants,Gujarat Titans,Pune,142,119,3,145,18.0,7.16,0
95,Lucknow Super Giants,Gujarat Titans,Pune,140,118,2,145,15.0,7.12,0
96,Lucknow Super Giants,Gujarat Titans,Pune,140,117,1,145,10.0,7.18,0
97,Lucknow Super Giants,Gujarat Titans,Pune,140,116,0,145,7.5,7.24,0
98,Mumbai Indians,Kolkata Knight Riders,Navi Mumbai,166,125,9,166,-0.0,7.97,0
99,Mumbai Indians,Kolkata Knight Riders,Navi Mumbai,164,119,3,166,12.0,8.27,0
100,Mumbai Indians,Kolkata Knight Riders,Navi Mumbai,160,118,2,166,18.0,8.14,0
101,Mumbai Indians,Kolkata Knight Riders,Navi Mumbai,160,117,1,166,12.0,8.21,0
102,Mumbai Indians,Kolkata Knight Riders,Navi Mumbai,160,116,0,166,9.0,8.28,0
103,Delhi Capitals,Chennai Super Kings,Navi Mumbai,209,125,9,209,-0.0,10.03,0
104,Delhi Capitals,Chennai Super Kings,Navi Mumbai,209,124,8,209,-0.0,10.11,0
105,Delhi Capitals,Chennai Super Kings,Navi Mumbai,209,123,7,209,-0.0,10.2,0
106,Delhi Capitals,Chennai Super Kings,Navi Mumbai,209,122,6,209,-0.0,10.28,0
107,Delhi Capitals,Chennai Super Kings,Navi Mumbai,197,119,3,209,72.0,9.93,0
108,Delhi Capitals,Chennai Super Kings,Navi Mumbai,193,118,2,209,48.0,9.81,0
109,Delhi Capitals,Chennai Super Kings,Navi Mumbai,193,117,1,209,32.0,9.9,0
110,Delhi Capitals,Chennai Super Kings,Navi Mumbai,193,116,0,209,24.0,9.98,0
111,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,193,125,9,193,-0.0,9.26,0
112,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,193,124,8,193,-0.0,9.34,0
113,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,191,119,3,193,12.0,9.63,0
114,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,191,118,2,193,6.0,9.71,0
115,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,191,117,1,193,4.0,9.79,0
116,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,191,116,0,193,3.0,9.88,0
117,Kolkata Knight Riders,Lucknow Super Giants,Pune,177,125,9,177,-0.0,8.5,0
118,Kolkata Knight Riders,Lucknow Super Giants,Pune,177,124,8,177,-0.0,8.56,0
119,Kolkata Knight Riders,Lucknow Super Giants,Pune,177,123,7,177,-0.0,8.63,0
120,Kolkata Knight Riders,Lucknow Super Giants,Pune,177,122,6,177,-0.0,8.7,0
121,Kolkata Knight Riders,Lucknow Super Giants,Pune,177,121,5,177,-0.0,8.78,0
122,Kolkata Knight Riders,Lucknow Super Giants,Pune,177,119,3,177,0.0,8.92,0
123,Kolkata Knight Riders,Lucknow Super Giants,Pune,177,118,2,177,0.0,9.0,0
124,Kolkata Knight Riders,Lucknow Super Giants,Pune,175,117,1,177,4.0,8.97,0
125,Kolkata Knight Riders,Lucknow Super Giants,Pune,175,116,0,177,3.0,9.05,0
126,Rajasthan Royals,Punjab Kings,Mumbai,190,125,9,190,-0.0,9.12,1
127,Rajasthan Royals,Punjab Kings,Mumbai,190,124,8,190,-0.0,9.19,1
128,Rajasthan Royals,Punjab Kings,Mumbai,175,119,3,190,90.0,8.82,1
129,Rajasthan Royals,Punjab Kings,Mumbai,174,118,2,190,48.0,8.85,1
130,Rajasthan Royals,Punjab Kings,Mumbai,174,117,1,190,32.0,8.92,1
131,Rajasthan Royals,Punjab Kings,Mumbai,170,116,0,190,30.0,8.79,1
132,Gujarat Titans,Mumbai Indians,Mumbai,178,125,9,178,-0.0,8.54,0
133,Gujarat Titans,Mumbai Indians,Mumbai,178,124,8,178,-0.0,8.61,0
134,Gujarat Titans,Mumbai Indians,Mumbai,178,123,7,178,-0.0,8.68,0
135,Gujarat Titans,Mumbai Indians,Mumbai,178,122,6,178,-0.0,8.75,0
136,Gujarat Titans,Mumbai Indians,Mumbai,173,119,3,178,30.0,8.72,0
137,Gujarat Titans,Mumbai Indians,Mumbai,173,118,2,178,15.0,8.8,0
138,Gujarat Titans,Mumbai Indians,Mumbai,173,117,1,178,10.0,8.87,0
139,Gujarat Titans,Mumbai Indians,Mumbai,167,116,0,178,16.5,8.64,0
140,Sunrisers Hyderabad,Delhi Capitals,Mumbai,208,125,9,208,-0.0,9.98,0
141,Sunrisers Hyderabad,Delhi Capitals,Mumbai,204,119,3,208,24.0,10.29,0
142,Sunrisers Hyderabad,Delhi Capitals,Mumbai,204,119,2,208,24.0,10.29,0
143,Sunrisers Hyderabad,Delhi Capitals,Mumbai,200,118,1,208,24.0,10.17,0
144,Sunrisers Hyderabad,Delhi Capitals,Mumbai,200,117,0,208,16.0,10.26,0
145,Chennai Super Kings,Royal Challengers Bangalore,Pune,174,125,9,174,-0.0,8.35,0
146,Chennai Super Kings,Royal Challengers Bangalore,Pune,164,119,3,174,60.0,8.27,0
147,Chennai Super Kings,Royal Challengers Bangalore,Pune,163,118,2,174,33.0,8.29,0
148,Chennai Super Kings,Royal Challengers Bangalore,Pune,163,117,1,174,22.0,8.36,0
149,Chennai Super Kings,Royal Challengers Bangalore,Pune,163,116,0,174,16.5,8.43,0
150,Punjab Kings,Gujarat Titans,Navi Mumbai,144,125,9,144,-0.0,6.91,1
151,Punjab Kings,Gujarat Titans,Navi Mumbai,144,124,8,144,-0.0,6.97,1
152,Punjab Kings,Gujarat Titans,Navi Mumbai,144,123,7,144,-0.0,7.02,1
153,Punjab Kings,Gujarat Titans,Navi Mumbai,138,119,3,144,36.0,6.96,1
154,Punjab Kings,Gujarat Titans,Navi Mumbai,134,118,2,144,30.0,6.81,1
155,Punjab Kings,Gujarat Titans,Navi Mumbai,134,117,1,144,20.0,6.87,1
156,Punjab Kings,Gujarat Titans,Navi Mumbai,134,116,0,144,15.0,6.93,1
157,Kolkata Knight Riders,Rajasthan Royals,Mumbai,147,119,3,153,36.0,7.41,1
158,Kolkata Knight Riders,Rajasthan Royals,Mumbai,147,119,2,153,36.0,7.41,1
159,Kolkata Knight Riders,Rajasthan Royals,Mumbai,143,118,1,153,30.0,7.27,1
160,Kolkata Knight Riders,Rajasthan Royals,Mumbai,143,117,0,153,20.0,7.33,1
161,Sunrisers Hyderabad,Chennai Super Kings,Pune,203,125,9,203,-0.0,9.74,0
162,Sunrisers Hyderabad,Chennai Super Kings,Pune,203,124,8,203,-0.0,9.82,0
163,Sunrisers Hyderabad,Chennai Super Kings,Pune,193,119,3,203,60.0,9.73,0
164,Sunrisers Hyderabad,Chennai Super Kings,Pune,189,118,2,203,42.0,9.61,0
165,Sunrisers Hyderabad,Chennai Super Kings,Pune,188,117,1,203,30.0,9.64,0
166,Sunrisers Hyderabad,Chennai Super Kings,Pune,186,116,0,203,25.5,9.62,0
167,Delhi Capitals,Lucknow Super Giants,Mumbai,196,125,9,196,-0.0,9.41,0
168,Delhi Capitals,Lucknow Super Giants,Mumbai,196,124,8,196,-0.0,9.48,0
169,Delhi Capitals,Lucknow Super Giants,Mumbai,196,123,7,196,-0.0,9.56,0
170,Delhi Capitals,Lucknow Super Giants,Mumbai,196,122,6,196,-0.0,9.64,0
171,Delhi Capitals,Lucknow Super Giants,Mumbai,191,119,3,196,30.0,9.63,0
172,Delhi Capitals,Lucknow Super Giants,Mumbai,191,118,2,196,15.0,9.71,0
173,Delhi Capitals,Lucknow Super Giants,Mumbai,191,117,1,196,10.0,9.79,0
174,Delhi Capitals,Lucknow Super Giants,Mumbai,187,116,0,196,13.5,9.67,0
175,Mumbai Indians,Rajasthan Royals,Navi Mumbai,147,119,3,159,72.0,7.41,1
176,Mumbai Indians,Rajasthan Royals,Navi Mumbai,147,119,2,159,72.0,7.41,1
177,Mumbai Indians,Rajasthan Royals,Navi Mumbai,146,118,1,159,39.0,7.42,1
178,Mumbai Indians,Rajasthan Royals,Navi Mumbai,146,117,0,159,26.0,7.49,1
179,Gujarat Titans,Royal Challengers Bangalore,Mumbai,159,119,3,171,72.0,8.02,1
180,Gujarat Titans,Royal Challengers Bangalore,Mumbai,158,118,2,171,39.0,8.03,1
181,Gujarat Titans,Royal Challengers Bangalore,Mumbai,157,117,1,171,28.0,8.05,1
182,Gujarat Titans,Royal Challengers Bangalore,Mumbai,153,116,0,171,27.0,7.91,1
183,Punjab Kings,Lucknow Super Giants,Pune,154,125,9,154,-0.0,7.39,0
184,Punjab Kings,Lucknow Super Giants,Pune,150,119,3,154,24.0,7.56,0
185,Punjab Kings,Lucknow Super Giants,Pune,150,118,2,154,12.0,7.63,0
186,Punjab Kings,Lucknow Super Giants,Pune,149,117,1,154,10.0,7.64,0
187,Punjab Kings,Lucknow Super Giants,Pune,149,116,0,154,7.5,7.71,0
188,Delhi Capitals,Kolkata Knight Riders,Mumbai,147,125,9,147,-0.0,7.06,1
189,Delhi Capitals,Kolkata Knight Riders,Mumbai,134,119,3,147,78.0,6.76,1
190,Delhi Capitals,Kolkata Knight Riders,Mumbai,130,118,2,147,51.0,6.61,1
191,Delhi Capitals,Kolkata Knight Riders,Mumbai,130,117,1,147,34.0,6.67,1
192,Delhi Capitals,Kolkata Knight Riders,Mumbai,130,116,0,147,25.5,6.72,1
193,Gujarat Titans,Sunrisers Hyderabad,Mumbai,196,125,9,196,-0.0,9.41,1
194,Gujarat Titans,Sunrisers Hyderabad,Mumbai,196,124,8,196,-0.0,9.48,1
195,Gujarat Titans,Sunrisers Hyderabad,Mumbai,196,123,7,196,-0.0,9.56,1
196,Gujarat Titans,Sunrisers Hyderabad,Mumbai,193,119,3,196,18.0,9.73,1
197,Gujarat Titans,Sunrisers Hyderabad,Mumbai,189,118,2,196,21.0,9.61,1
198,Gujarat Titans,Sunrisers Hyderabad,Mumbai,183,117,1,196,26.0,9.38,1
199,Gujarat Titans,Sunrisers Hyderabad,Mumbai,182,116,0,196,21.0,9.41,1
200,Royal Challengers Bangalore,Rajasthan Royals,Pune,145,125,9,145,-0.0,6.96,0
201,Royal Challengers Bangalore,Rajasthan Royals,Pune,145,124,8,145,-0.0,7.02,0
202,Royal Challengers Bangalore,Rajasthan Royals,Pune,145,123,7,145,-0.0,7.07,0
203,Royal Challengers Bangalore,Rajasthan Royals,Pune,136,119,3,145,54.0,6.86,0
204,Royal Challengers Bangalore,Rajasthan Royals,Pune,136,118,2,145,27.0,6.92,0
205,Royal Challengers Bangalore,Rajasthan Royals,Pune,136,117,1,145,18.0,6.97,0
206,Royal Challengers Bangalore,Rajasthan Royals,Pune,135,116,0,145,15.0,6.98,0
207,Chennai Super Kings,Punjab Kings,Mumbai,188,125,9,188,-0.0,9.02,0
208,Chennai Super Kings,Punjab Kings,Mumbai,178,119,3,188,60.0,8.97,0
209,Chennai Super Kings,Punjab Kings,Mumbai,178,118,2,188,30.0,9.05,0
210,Chennai Super Kings,Punjab Kings,Mumbai,178,117,1,188,20.0,9.13,0
211,Chennai Super Kings,Punjab Kings,Mumbai,178,116,0,188,15.0,9.21,0
212,Mumbai Indians,Lucknow Super Giants,Mumbai,169,125,9,169,-0.0,8.11,0
213,Mumbai Indians,Lucknow Super Giants,Mumbai,162,119,3,169,42.0,8.17,0
214,Mumbai Indians,Lucknow Super Giants,Mumbai,158,118,2,169,33.0,8.03,0
215,Mumbai Indians,Lucknow Super Giants,Mumbai,158,119,1,169,66.0,7.97,0
216,Mumbai Indians,Lucknow Super Giants,Mumbai,158,118,0,169,33.0,8.03,0
217,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,69,125,9,69,-0.0,3.31,1
218,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,69,124,8,69,-0.0,3.34,1
219,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,69,123,7,69,-0.0,3.37,1
220,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,67,119,3,69,12.0,3.38,1
221,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,67,119,2,69,12.0,3.38,1
222,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,67,118,1,69,6.0,3.41,1
223,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,67,117,0,69,4.0,3.44,1
224,Kolkata Knight Riders,Gujarat Titans,Navi Mumbai,157,125,9,157,-0.0,7.54,0
225,Kolkata Knight Riders,Gujarat Titans,Navi Mumbai,152,119,3,157,30.0,7.66,0
226,Kolkata Knight Riders,Gujarat Titans,Navi Mumbai,148,119,2,157,54.0,7.46,0
227,Kolkata Knight Riders,Gujarat Titans,Navi Mumbai,148,118,1,157,27.0,7.53,0
228,Kolkata Knight Riders,Gujarat Titans,Navi Mumbai,147,117,0,157,20.0,7.54,0
229,Delhi Capitals,Rajasthan Royals,Mumbai,211,119,3,223,72.0,10.64,0
230,Delhi Capitals,Rajasthan Royals,Mumbai,211,118,2,223,36.0,10.73,0
231,Delhi Capitals,Rajasthan Royals,Mumbai,211,117,1,223,24.0,10.82,0
232,Delhi Capitals,Rajasthan Royals,Mumbai,210,116,0,223,19.5,10.86,0
233,Chennai Super Kings,Mumbai Indians,Navi Mumbai,156,125,9,156,-0.0,7.49,1
234,Chennai Super Kings,Mumbai Indians,Navi Mumbai,147,119,3,156,54.0,7.41,1
235,Chennai Super Kings,Mumbai Indians,Navi Mumbai,146,119,2,156,60.0,7.36,1
236,Chennai Super Kings,Mumbai Indians,Navi Mumbai,145,118,1,156,33.0,7.37,1
237,Chennai Super Kings,Mumbai Indians,Navi Mumbai,144,117,0,156,24.0,7.38,1
238,Delhi Capitals,Punjab Kings,Mumbai,101,119,3,116,90.0,5.09,1
239,Delhi Capitals,Punjab Kings,Mumbai,101,118,2,116,45.0,5.14,1
240,Delhi Capitals,Punjab Kings,Mumbai,97,117,1,116,38.0,4.97,1
241,Delhi Capitals,Punjab Kings,Mumbai,96,116,0,116,30.0,4.97,1
242,Lucknow Super Giants,Royal Challengers Bangalore,Mumbai,182,125,9,182,-0.0,8.74,0
243,Lucknow Super Giants,Royal Challengers Bangalore,Mumbai,172,119,3,182,60.0,8.67,0
244,Lucknow Super Giants,Royal Challengers Bangalore,Mumbai,171,118,2,182,33.0,8.69,0
245,Lucknow Super Giants,Royal Challengers Bangalore,Mumbai,169,117,1,182,26.0,8.67,0
246,Lucknow Super Giants,Royal Challengers Bangalore,Mumbai,169,116,0,182,19.5,8.74,0
247,Kolkata Knight Riders,Rajasthan Royals,Mumbai,218,125,9,218,-0.0,10.46,0
248,Kolkata Knight Riders,Rajasthan Royals,Mumbai,208,119,3,218,60.0,10.49,0
249,Kolkata Knight Riders,Rajasthan Royals,Mumbai,208,118,2,218,30.0,10.58,0
250,Kolkata Knight Riders,Rajasthan Royals,Mumbai,207,117,1,218,22.0,10.62,0
251,Kolkata Knight Riders,Rajasthan Royals,Mumbai,203,116,0,218,22.5,10.5,0
252,Gujarat Titans,Chennai Super Kings,Pune,170,125,9,170,-0.0,8.16,1
253,Gujarat Titans,Chennai Super Kings,Pune,170,124,8,170,-0.0,8.23,1
254,Gujarat Titans,Chennai Super Kings,Pune,170,123,7,170,-0.0,8.29,1
255,Gujarat Titans,Chennai Super Kings,Pune,170,122,6,170,-0.0,8.36,1
256,Gujarat Titans,Chennai Super Kings,Pune,168,119,3,170,12.0,8.47,1
257,Gujarat Titans,Chennai Super Kings,Pune,168,118,2,170,6.0,8.54,1
258,Gujarat Titans,Chennai Super Kings,Pune,168,117,1,170,4.0,8.62,1
259,Gujarat Titans,Chennai Super Kings,Pune,167,116,0,170,4.5,8.64,1
260,Sunrisers Hyderabad,Punjab Kings,Mumbai,146,119,3,152,36.0,7.36,1
261,Sunrisers Hyderabad,Punjab Kings,Mumbai,146,118,2,152,18.0,7.42,1
262,Sunrisers Hyderabad,Punjab Kings,Mumbai,146,117,1,152,12.0,7.49,1
263,Sunrisers Hyderabad,Punjab Kings,Mumbai,146,116,0,152,9.0,7.55,1
264,Delhi Capitals,Royal Challengers Bangalore,Mumbai,181,119,3,190,54.0,9.13,0
265,Delhi Capitals,Royal Challengers Bangalore,Mumbai,179,118,2,190,33.0,9.1,0
266,Delhi Capitals,Royal Challengers Bangalore,Mumbai,178,117,1,190,24.0,9.13,0
267,Delhi Capitals,Royal Challengers Bangalore,Mumbai,177,116,0,190,19.5,9.16,0
268,Mumbai Indians,Lucknow Super Giants,Mumbai,194,119,3,200,36.0,9.78,0
269,Mumbai Indians,Lucknow Super Giants,Mumbai,193,118,2,200,21.0,9.81,0
270,Mumbai Indians,Lucknow Super Giants,Mumbai,193,117,1,200,14.0,9.9,0
271,Mumbai Indians,Lucknow Super Giants,Mumbai,193,116,0,200,10.5,9.98,0
272,Sunrisers Hyderabad,Kolkata Knight Riders,Mumbai,176,125,9,176,-0.0,8.45,1
273,Sunrisers Hyderabad,Kolkata Knight Riders,Mumbai,173,119,3,176,18.0,8.72,1
274,Sunrisers Hyderabad,Kolkata Knight Riders,Mumbai,173,118,2,176,9.0,8.8,1
275,Sunrisers Hyderabad,Kolkata Knight Riders,Mumbai,173,117,1,176,6.0,8.87,1
276,Sunrisers Hyderabad,Kolkata Knight Riders,Mumbai,173,116,0,176,4.5,8.95,1
277,Rajasthan Royals,Gujarat Titans,Mumbai,193,125,9,193,-0.0,9.26,0
278,Rajasthan Royals,Gujarat Titans,Mumbai,176,119,3,193,102.0,8.87,0
279,Rajasthan Royals,Gujarat Titans,Mumbai,176,118,2,193,51.0,8.95,0
280,Rajasthan Royals,Gujarat Titans,Mumbai,172,117,1,193,42.0,8.82,0
281,Rajasthan Royals,Gujarat Titans,Mumbai,166,116,0,193,40.5,8.59,0
282,Mumbai Indians,Punjab Kings,Pune,186,119,3,199,78.0,9.38,0
283,Mumbai Indians,Punjab Kings,Pune,182,118,2,199,51.0,9.25,0
284,Mumbai Indians,Punjab Kings,Pune,182,117,1,199,34.0,9.33,0
285,Mumbai Indians,Punjab Kings,Pune,178,116,0,199,31.5,9.21,0
286,Royal Challengers Bangalore,Chennai Super Kings,Mumbai,217,125,9,217,-0.0,10.42,0
287,Royal Challengers Bangalore,Chennai Super Kings,Mumbai,216,119,3,217,6.0,10.89,0
288,Royal Challengers Bangalore,Chennai Super Kings,Mumbai,213,118,2,217,12.0,10.83,0
289,Royal Challengers Bangalore,Chennai Super Kings,Mumbai,212,117,1,217,10.0,10.87,0
290,Royal Challengers Bangalore,Chennai Super Kings,Mumbai,209,116,0,217,12.0,10.81,0
291,Sunrisers Hyderabad,Gujarat Titans,Mumbai,159,119,3,163,24.0,8.02,1
292,Sunrisers Hyderabad,Gujarat Titans,Mumbai,159,118,2,163,12.0,8.08,1
293,Sunrisers Hyderabad,Gujarat Titans,Mumbai,159,117,1,163,8.0,8.15,1
